ticker
ARND3
AXIA3
AXIA7
AZTE3
AZUL3
AZUL97
AZUL98
AZUL99
BMIN4
BOBR4
BRAX
CEDO4
CTAX3
CTKA4
DOHL4
ECOM3
EKTR4
EMAE4
EMBJ3
ESTR4
HETA4
HOOT4
LUXM4
MBRF3
MGEL4
MTSA4
MWET4
OBTC3
PATI4
RIAA3
RSUL4
RVEE3
SAUD3
SEQL3
SHUL4
SNSY5
SOND5
SOND6
TOKY3
TUPY3
WDCN3
